Number,Name,Class,Position,Hometown,Team,Simple.Hometown,Label,Season,Lon,Lat
26,Mattias Goransson,SO,D,"Slottsbron, Sweden",Massachusetts-Lowell,slottsbron sweden,"Massachusetts-Lowell: 26 Mattias Goransson - Slottsbron, Sweden (SO-D)",20172018,13.1,59.333333
27,Niklas Folin,JR,D,"Kungsbacka, Sweden",Massachusetts-Lowell,kungsbacka sweden,"Massachusetts-Lowell: 27 Niklas Folin - Kungsbacka, Sweden (JR-D)",20172018,12.0761928,57.48749189999999
29,John Edwardh,SR,F,"Calgary, Alberta",Massachusetts-Lowell,calgary alberta,"Massachusetts-Lowell: 29 John Edwardh - Calgary, Alberta (SR-F)",20172018,-114.0708459,51.0486151
31,Christoffer Hernberg,JR,G,"Espoo, Finland",Massachusetts-Lowell,espoo finland,"Massachusetts-Lowell: 31 Christoffer Hernberg - Espoo, Finland (JR-G)",20172018,24.6559,60.2054911
32,Jonathan Waring,FR,D,"Farmington Hills, Michigan",Massachusetts-Lowell,farmington hills michigan,"Massachusetts-Lowell: 32 Jonathan Waring - Farmington Hills, Michigan (FR-D)",20172018,-83.3677168,42.4989936
33,Tyler Wall,SO,G,"Leamington, Ontario",Massachusetts-Lowell,leamington ontario,"Massachusetts-Lowell: 33 Tyler Wall - Leamington, Ontario (SO-G)",20172018,-82.5998874,42.0531634
2,Alexander Carlson,JR,D,"Lakewood, New York",Mercyhurst,lakewood new york,"Mercyhurst: 02 Alexander Carlson - Lakewood, New York (JR-D)",20172018,-79.3331041,42.1042241
4,Lester Lancaster,JR,D,"Ypsilanti, Michigan",Mercyhurst,ypsilanti michigan,"Mercyhurst: 04 Lester Lancaster - Ypsilanti, Michigan (JR-D)",20172018,-83.61299389999999,42.2411499
5,Zach Todd,SR,D,"Holden, Massachusetts",Mercyhurst,holden massachusetts,"Mercyhurst: 05 Zach Todd - Holden, Massachusetts (SR-D)",20172018,-71.8634062,42.3517585
6,Brendan Riley,SO,F,"West Point, New York",Mercyhurst,west point new york,"Mercyhurst: 06 Brendan Riley - West Point, New York (SO-F)",20172018,-73.95597210000001,41.3914827
8,Kane Elliot,SR,F,"Mississauga, Ontario",Mercyhurst,mississauga ontario,"Mercyhurst: 08 Kane Elliot - Mississauga, Ontario (SR-F)",20172018,-79.6441198,43.5890452
9,Corey Caruso,FR,F,"Hamilton, Ontario",Mercyhurst,hamilton ontario,"Mercyhurst: 09 Corey Caruso - Hamilton, Ontario (FR-F)",20172018,-79.8711024,43.2557206
10,Jeremy Wu,JR,D,"Pickering, Ontario",Mercyhurst,pickering ontario,"Mercyhurst: 10 Jeremy Wu - Pickering, Ontario (JR-D)",20172018,-79.0867579,43.83841169999999
11,Jonathan Charbonneau,SR,F,"Saint-Colomban, Quebec",Mercyhurst,saintcolomban quebec,"Mercyhurst: 11 Jonathan Charbonneau - Saint-Colomban, Quebec (SR-F)",20172018,-74.13785469999999,45.7399955
12,Nathan Ferriero,SR,F,"Essex, Massachusetts",Mercyhurst,essex massachusetts,"Mercyhurst: 12 Nathan Ferriero - Essex, Massachusetts (SR-F)",20172018,-70.7829315,42.63195820000001
13,Josh Lammon,JR,F,"Jackson, Michigan",Mercyhurst,jackson michigan,"Mercyhurst: 13 Josh Lammon - Jackson, Michigan (JR-F)",20172018,-84.40134619999999,42.245869
14,Chris Makowski,JR,F,"Dix Hills, New York",Mercyhurst,dix hills new york,"Mercyhurst: 14 Chris Makowski - Dix Hills, New York (JR-F)",20172018,-73.3362298,40.8048207
15,Tommaso Bucci,JR,F,"Franklin Square, New York",Mercyhurst,franklin square new york,"Mercyhurst: 15 Tommaso Bucci - Franklin Square, New York (JR-F)",20172018,-73.6759635,40.7073244
16,Matthew Whittaker,JR,F,"Toronto, Ontario",Mercyhurst,toronto ontario,"Mercyhurst: 16 Matthew Whittaker - Toronto, Ontario (JR-F)",20172018,-79.3831843,43.653226
18,Patrick Piacentini,SR,D,"Maple, Ontario",Mercyhurst,maple ontario,"Mercyhurst: 18 Patrick Piacentini - Maple, Ontario (SR-D)",20172018,-79.52728359999999,43.8517618
19,Taylor Best,JR,F,"Whitby, Ontario",Mercyhurst,whitby ontario,"Mercyhurst: 19 Taylor Best - Whitby, Ontario (JR-F)",20172018,-78.94293290000002,43.8975446
21,Joseph Duszak,SO,D,"Franklin Square, New York",Mercyhurst,franklin square new york,"Mercyhurst: 21 Joseph Duszak - Franklin Square, New York (SO-D)",20172018,-73.6759635,40.7073244
24,Bryan Sienerth,SR,F,"Erie, Pennsylvania",Mercyhurst,erie pennsylvania,"Mercyhurst: 24 Bryan Sienerth - Erie, Pennsylvania (SR-F)",20172018,-80.085059,42.12922409999999
25,Quinn Wichers,FR,D,"Metcalfe, Ontario",Mercyhurst,metcalfe ontario,"Mercyhurst: 25 Quinn Wichers - Metcalfe, Ontario (FR-D)",20172018,-75.4718279,45.2340408
27,James Anderson,SO,F,"Kings Park, New York",Mercyhurst,kings park new york,"Mercyhurst: 27 James Anderson - Kings Park, New York (SO-F)",20172018,-73.2573369,40.88620900000001
33,Colin DeAugustine,SO,G,"Burgettstown, Pennsylvania",Mercyhurst,burgettstown pennsylvania,"Mercyhurst: 33 Colin DeAugustine - Burgettstown, Pennsylvania (SO-G)",20172018,-80.3928423,40.3820132
37,Brandon Gotkin,SR,F,"Erie, Pennsylvania",Mercyhurst,erie pennsylvania,"Mercyhurst: 37 Brandon Gotkin - Erie, Pennsylvania (SR-F)",20172018,-80.085059,42.12922409999999
39,Garrett Metcalf,SO,G,"Salt Lake City, Utah",Mercyhurst,salt lake city utah,"Mercyhurst: 39 Garrett Metcalf - Salt Lake City, Utah (SO-G)",20172018,-111.8910474,40.7607793
6,Alex Carle,JR,D,"Anchorage, Alaska",Merrimack,anchorage alaska,"Merrimack: 06 Alex Carle - Anchorage, Alaska (JR-D)",20172018,-149.9002778,61.2180556
7,Simon LA?A?f,FR,D,"EkjsA?, Sweden",Merrimack,ekjsa sweden,"Merrimack: 07 Simon LA?A?f - EkjsA?, Sweden (FR-D)",20172018,13.2009714,61.15658099999999
8,Johnathan Kovacevic,SO,D,"Grimsby, Ontario",Merrimack,grimsby ontario,"Merrimack: 08 Johnathan Kovacevic - Grimsby, Ontario (SO-D)",20172018,-79.56241949999999,43.1942126
9,Jace Hennig,SR,F,"Port Moody, British Columbia",Merrimack,port moody british columbia,"Merrimack: 09 Jace Hennig - Port Moody, British Columbia (SR-F)",20172018,-122.8677562,49.2849107
11,Tyler Irvine,SO,F,"Livonia, Michigan",Merrimack,livonia michigan,"Merrimack: 11 Tyler Irvine - Livonia, Michigan (SO-F)",20172018,-83.35270969999999,42.36837
13,Brett Seney,SR,F,"London, Ontario",Merrimack,london ontario,"Merrimack: 13 Brett Seney - London, Ontario (SR-F)",20172018,-81.2452768,42.9849233
14,Patrick Kramer,SO,F,"Bridgewater, Massachusetts",Merrimack,bridgewater massachusetts,"Merrimack: 14 Patrick Kramer - Bridgewater, Massachusetts (SO-F)",20172018,-70.9750541,41.9903519
15,Jared Kolquist,SR,D,"Hermantown, Minnesota",Merrimack,hermantown minnesota,"Merrimack: 15 Jared Kolquist - Hermantown, Minnesota (SR-D)",20172018,-92.2382464,46.8068852
16,Laine McKay,FR,F,"Thunder Bay, Ontario",Merrimack,thunder bay ontario,"Merrimack: 16 Laine McKay - Thunder Bay, Ontario (FR-F)",20172018,-89.2476823,48.3808951
17,Logan Coomes,SO,F,"Northville, Michigan",Merrimack,northville michigan,"Merrimack: 17 Logan Coomes - Northville, Michigan (SO-F)",20172018,-83.4832692,42.4311464
18,Cole McBride,SO,F,"Kindersley, Saskatchewan",Merrimack,kindersley saskatchewan,"Merrimack: 18 Cole McBride - Kindersley, Saskatchewan (SO-F)",20172018,-109.1546825,51.4675266
22,Mathieu Tibbet,SR,F,"Dover, Delaware",Merrimack,dover delaware,"Merrimack: 22 Mathieu Tibbet - Dover, Delaware (SR-F)",20172018,-75.5243682,39.158168
23,Alfred Larsson,SR,F,"MalmA?, Sweden",Merrimack,malma sweden,"Merrimack: 23 Alfred Larsson - MalmA?, Sweden (SR-F)",20172018,13.003822,55.604981
24,Tyler Drevitch,SO,F,"Middleborough, Massachusetts",Merrimack,middleborough massachusetts,"Merrimack: 24 Tyler Drevitch - Middleborough, Massachusetts (SO-F)",20172018,-70.9107708,41.8929942
25,Sami Tavernier,SO,F,"Morzine, France",Merrimack,morzine france,"Merrimack: 25 Sami Tavernier - Morzine, France (SO-F)",20172018,6.708877,46.179192
27,Dominic Dockery,FR,D,"Lockport, New York",Merrimack,lockport new york,"Merrimack: 27 Dominic Dockery - Lockport, New York (FR-D)",20172018,-78.6903098,43.1706128
28,Jackson Bales,FR,F,"Oakville, Ontario",Merrimack,oakville ontario,"Merrimack: 28 Jackson Bales - Oakville, Ontario (FR-F)",20172018,-79.6876659,43.467517
29,Craig Pantano,JR,G,"Bridgewater, Massachusetts",Merrimack,bridgewater massachusetts,"Merrimack: 29 Craig Pantano - Bridgewater, Massachusetts (JR-G)",20172018,-70.9750541,41.9903519
31,Drew Vogler,JR,G,"Florissant, Missouri",Merrimack,florissant missouri,"Merrimack: 31 Drew Vogler - Florissant, Missouri (JR-G)",20172018,-90.322614,38.789217
34,Logan Halladay,FR,G,"Cary, North Carolina",Merrimack,cary north carolina,"Merrimack: 34 Logan Halladay - Cary, North Carolina (FR-G)",20172018,-78.7811169,35.79154
6,Alec Mahalak,FR,D,"Monroe, Michigan",Miami,monroe michigan,"Miami: 06 Alec Mahalak - Monroe, Michigan (FR-D)",20172018,-83.3977101,41.9164343
7,Grant Frederic,SO,D,"St. Louis, Missouri",Miami,st louis missouri,"Miami: 07 Grant Frederic - St. Louis, Missouri (SO-D)",20172018,-90.19940419999999,38.6270025
8,Chaz Switzer,SO,D,"Muskegon, Michigan",Miami,muskegon michigan,"Miami: 08 Chaz Switzer - Muskegon, Michigan (SO-D)",20172018,-86.24839209999999,43.2341813
10,Ben Lown,FR,F,"Newport Coast, California",Miami,newport coast california,"Miami: 10 Ben Lown - Newport Coast, California (FR-F)",20172018,-117.8369007,33.5973864
18,Carson Meyer,SO,F,"Powell, Ohio",Miami,powell ohio,"Miami: 18 Carson Meyer - Powell, Ohio (SO-F)",20172018,-83.07518689999999,40.1578402
20,Christian Mohs,FR,F,"Andover, Minnesota",Miami,andover minnesota,"Miami: 20 Christian Mohs - Andover, Minnesota (FR-F)",20172018,-93.29134049999999,45.2332984
22,Carter Johnson,SO,F,"Gimli, Manitoba",Miami,gimli manitoba,"Miami: 22 Carter Johnson - Gimli, Manitoba (SO-F)",20172018,-96.9886746,50.6320809
24,Ryan Siroky,JR,F,"Manhattan Beach, California",Miami,manhattan beach california,"Miami: 24 Ryan Siroky - Manhattan Beach, California (JR-F)",20172018,-118.4109089,33.8847361
27,Scott Dornbrock,SR,D,"Harper Woods, Michigan",Miami,harper woods michigan,"Miami: 27 Scott Dornbrock - Harper Woods, Michigan (SR-D)",20172018,-82.92408329999999,42.4330924
30,Chase Munroe,SO,G,"Naperville, Illinois",Miami,naperville illinois,"Miami: 30 Chase Munroe - Naperville, Illinois (SO-G)",20172018,-88.1535352,41.7508391
31,Ryan Larkin,SO,G,"Clarkston, Michigan",Miami,clarkston michigan,"Miami: 31 Ryan Larkin - Clarkston, Michigan (SO-G)",20172018,-83.4192941,42.7351196
36,Grant Valentine,FR,G,"Medina, Ohio",Miami,medina ohio,"Miami: 36 Grant Valentine - Medina, Ohio (FR-G)",20172018,-81.8552196,41.143245
37,Josh Melnick,JR,F,"Annandale, New Jersey",Miami,annandale new jersey,"Miami: 37 Josh Melnick - Annandale, New Jersey (JR-F)",20172018,-74.881278,40.6409347
39,Casey Gilling,FR,F,"Gaylord, Michigan",Miami,gaylord michigan,"Miami: 39 Casey Gilling - Gaylord, Michigan (FR-F)",20172018,-84.6747523,45.0275126
42,Conor Lemirande,SR,F,"Janesville, Wisconsin",Miami,janesville wisconsin,"Miami: 42 Conor Lemirande - Janesville, Wisconsin (SR-F)",20172018,-89.0187222,42.6827885
44,Kiefer Sherwood,JR,F,"Columbus, Ohio",Miami,columbus ohio,"Miami: 44 Kiefer Sherwood - Columbus, Ohio (JR-F)",20172018,-82.99879419999999,39.9611755
58,Louie Belpedio,SR,D,"Skokie, Illinois",Miami,skokie illinois,"Miami: 58 Louie Belpedio - Skokie, Illinois (SR-D)",20172018,-87.7416246,42.0324025
67,Phil Knies,FR,F,"Phoenix, Arizona",Miami,phoenix arizona,"Miami: 67 Phil Knies - Phoenix, Arizona (FR-F)",20172018,-112.0740373,33.4483771
73,Alex Alger,SO,F,"Livonia, Michigan",Miami,livonia michigan,"Miami: 73 Alex Alger - Livonia, Michigan (SO-F)",20172018,-83.35270969999999,42.36837
74,Austin Alger,FR,F,"Livonia, Michigan",Miami,livonia michigan,"Miami: 74 Austin Alger - Livonia, Michigan (FR-F)",20172018,-83.35270969999999,42.36837
85,Karch Bachman,SO,F,"Wolcottville, Indiana",Miami,wolcottville indiana,"Miami: 85 Karch Bachman - Wolcottville, Indiana (SO-F)",20172018,-85.3666451,41.5258832
92,Willie Knierim,SO,F,"Skokie, Illinois",Miami,skokie illinois,"Miami: 92 Willie Knierim - Skokie, Illinois (SO-F)",20172018,-87.7416246,42.0324025
2,Luke Martin,SO,D,"St. Louis, Missouri",Michigan,st louis missouri,"Michigan: 02 Luke Martin - St. Louis, Missouri (SO-D)",20172018,-90.19940419999999,38.6270025
4,Cutler Martin,SR,D,"East Lansing, Michigan",Michigan,east lansing michigan,"Michigan: 04 Cutler Martin - East Lansing, Michigan (SR-D)",20172018,-84.48386540000001,42.7369792
5,Griffin Luce,SO,D,"Williamsville, New York",Michigan,williamsville new york,"Michigan: 05 Griffin Luce - Williamsville, New York (SO-D)",20172018,-78.73780909999999,42.963947
6,Sam Piazza,SR,D,"Darien, Illinois",Michigan,darien illinois,"Michigan: 06 Sam Piazza - Darien, Illinois (SR-D)",20172018,-87.9737943,41.7483483
8,Jack Becker,FR,F,"Dellwood, Minnesota",Michigan,dellwood minnesota,"Michigan: 08 Jack Becker - Dellwood, Minnesota (FR-F)",20172018,-92.9724382,45.0899665
9,Josh Norris,FR,F,"Oxford, Michigan",Michigan,oxford michigan,"Michigan: 09 Josh Norris - Oxford, Michigan (FR-F)",20172018,-83.26466239999999,42.8247524
10,Will Lockwood,SO,F,"Bloomfield Hills, Michigan",Michigan,bloomfield hills michigan,"Michigan: 10 Will Lockwood - Bloomfield Hills, Michigan (SO-F)",20172018,-83.24548829999999,42.583645
11,Brendan Warren,JR,F,"Carleton, Michigan",Michigan,carleton michigan,"Michigan: 11 Brendan Warren - Carleton, Michigan (JR-F)",20172018,-83.3907658,42.0592101
12,Dakota Raabe,FR,F,"Capistrano Beach, California",Michigan,capistrano beach california,"Michigan: 12 Dakota Raabe - Capistrano Beach, California (FR-F)",20172018,-117.6690208,33.4596667
13,Jake Slaker,SO,F,"San Diego, California",Michigan,san diego california,"Michigan: 13 Jake Slaker - San Diego, California (SO-F)",20172018,-117.1610838,32.715738
17,Tony Calderone,SR,F,"Trenton, Michigan",Michigan,trenton michigan,"Michigan: 17 Tony Calderone - Trenton, Michigan (SR-F)",20172018,-83.1782587,42.1394858
18,Adam Winborg,SO,F,"Stockholm, Sweden",Michigan,stockholm sweden,"Michigan: 18 Adam Winborg - Stockholm, Sweden (SO-F)",20172018,18.0685808,59.32932349999999
20,Cooper Marody,JR,F,"Brighton, Michigan",Michigan,brighton michigan,"Michigan: 20 Cooper Marody - Brighton, Michigan (JR-F)",20172018,-83.7802214,42.5294773
21,Michael Pastujov,FR,F,"Bradenton, Florida",Michigan,bradenton florida,"Michigan: 21 Michael Pastujov - Bradenton, Florida (FR-F)",20172018,-82.5748194,27.4989278
22,Niko Porikos,SR,D,"Ann Arbor, Michigan",Michigan,ann arbor michigan,"Michigan: 22 Niko Porikos - Ann Arbor, Michigan (SR-D)",20172018,-83.7430378,42.2808256
25,Luke Morgan,SO,F,"Brighton, Michigan",Michigan,brighton michigan,"Michigan: 25 Luke Morgan - Brighton, Michigan (SO-F)",20172018,-83.7802214,42.5294773
28,Alex Roos,SR,F,"Prairie Grove, Illinois",Michigan,prairie grove illinois,"Michigan: 28 Alex Roos - Prairie Grove, Illinois (SR-F)",20172018,-88.26091840000001,42.2786339
30,Hayden Lavigne,SO,G,"Brampton, Ontario",Michigan,brampton ontario,"Michigan: 30 Hayden Lavigne - Brampton, Ontario (SO-G)",20172018,-79.7624177,43.7315479
31,Chad Catt,JR,G,"Williamstown, Michigan",Michigan,williamstown michigan,"Michigan: 31 Chad Catt - Williamstown, Michigan (JR-G)",20172018,-84.3331694,42.7433368
33,Joseph Cecconi,JR,D,"Youngstown, New York",Michigan,youngstown new york,"Michigan: 33 Joseph Cecconi - Youngstown, New York (JR-D)",20172018,-79.0500466,43.24727679999999
43,Quinn Hughes,FR,D,"Orlando, Florida",Michigan,orlando florida,"Michigan: 43 Quinn Hughes - Orlando, Florida (FR-D)",20172018,-81.3792365,28.5383355
45,Jack LaFontaine,SO,G,"Mississauga, Ontario",Michigan,mississauga ontario,"Michigan: 45 Jack LaFontaine - Mississauga, Ontario (SO-G)",20172018,-79.6441198,43.5890452
61,James Sanchez,SO,F,"Northbrook, Illinois",Michigan,northbrook illinois,"Michigan: 61 James Sanchez - Northbrook, Illinois (SO-F)",20172018,-87.82895479999999,42.1275267
74,Nicholas Boka,JR,D,"Plymouth, Michigan",Michigan,plymouth michigan,"Michigan: 74 Nicholas Boka - Plymouth, Michigan (JR-D)",20172018,-83.4702132,42.3714253
90,Dexter Dancs,SR,F,"Vancouver, British Columbia",Michigan,vancouver british columbia,"Michigan: 90 Dexter Dancs - Vancouver, British Columbia (SR-F)",20172018,-123.1207375,49.2827291
91,Nick Pastujov,SO,F,"Bradenton, Florida",Michigan,bradenton florida,"Michigan: 91 Nick Pastujov - Bradenton, Florida (SO-F)",20172018,-82.5748194,27.4989278
2,Zach Osburn,JR,D,"Plymouth, Michigan",Michigan State,plymouth michigan,"Michigan State: 02 Zach Osburn - Plymouth, Michigan (JR-D)",20172018,-83.4702132,42.3714253
4,Anthony Scarsella,SO,D,"White Lake, Michigan",Michigan State,white lake michigan,"Michigan State: 04 Anthony Scarsella - White Lake, Michigan (SO-D)",20172018,-83.4856913,42.6592995
7,Damian Chrcek,SO,D,"Marysville, Michigan",Michigan State,marysville michigan,"Michigan State: 07 Damian Chrcek - Marysville, Michigan (SO-D)",20172018,-82.4868599,42.9125305
9,Mitchell Lewandowski,FR,F,"Clarkston, Michigan",Michigan State,clarkston michigan,"Michigan State: 09 Mitchell Lewandowski - Clarkston, Michigan (FR-F)",20172018,-83.4192941,42.7351196
10,Sam Saliba,SO,F,"Lincolnshire, Illinois",Michigan State,lincolnshire illinois,"Michigan State: 10 Sam Saliba - Lincolnshire, Illinois (SO-F)",20172018,-87.9084039,42.1900249
11,Tommy Apap,FR,F,"Bloomfield Hills, Michigan",Michigan State,bloomfield hills michigan,"Michigan State: 11 Tommy Apap - Bloomfield Hills, Michigan (FR-F)",20172018,-83.24548829999999,42.583645
12,Tommy Miller,FR,D,"West Bloomfield, Michigan",Michigan State,west bloomfield michigan,"Michigan State: 12 Tommy Miller - West Bloomfield, Michigan (FR-D)",20172018,-83.373339,42.5678534
13,Brennan Sanford,JR,F,"East Lansing, Michigan",Michigan State,east lansing michigan,"Michigan State: 13 Brennan Sanford - East Lansing, Michigan (JR-F)",20172018,-84.48386540000001,42.7369792
14,Dylan Pavelek,SR,F,"Marysville, Michigan",Michigan State,marysville michigan,"Michigan State: 14 Dylan Pavelek - Marysville, Michigan (SR-F)",20172018,-82.4868599,42.9125305
16,Brody Stevens,FR,F,"Ann Arbor, Michigan",Michigan State,ann arbor michigan,"Michigan State: 16 Brody Stevens - Ann Arbor, Michigan (FR-F)",20172018,-83.7430378,42.2808256
17,Taro Hirose,SO,F,"Calgary, Alberta",Michigan State,calgary alberta,"Michigan State: 17 Taro Hirose - Calgary, Alberta (SO-F)",20172018,-114.0708459,51.0486151
18,Carson Gatt,SR,D,"Farmington Hills, Michigan",Michigan State,farmington hills michigan,"Michigan State: 18 Carson Gatt - Farmington Hills, Michigan (SR-D)",20172018,-83.3677168,42.4989936
19,David Keefer,FR,F,"Brighton, Michigan",Michigan State,brighton michigan,"Michigan State: 19 David Keefer - Brighton, Michigan (FR-F)",20172018,-83.7802214,42.5294773
21,Jake Smith,FR,F,"East Amherst, New York",Michigan State,east amherst new york,"Michigan State: 21 Jake Smith - East Amherst, New York (FR-F)",20172018,-78.69698310000001,43.0183126
23,Cody Milan,JR,F,"White Lake, Michigan",Michigan State,white lake michigan,"Michigan State: 23 Cody Milan - White Lake, Michigan (JR-F)",20172018,-83.4856913,42.6592995
24,Austin Kamer,FR,F,"Grand Rapids, Michigan",Michigan State,grand rapids michigan,"Michigan State: 24 Austin Kamer - Grand Rapids, Michigan (FR-F)",20172018,-85.6680863,42.9633599
28,Gianluca Esteves,FR,F,"Winnipeg, Manitoba",Michigan State,winnipeg manitoba,"Michigan State: 28 Gianluca Esteves - Winnipeg, Manitoba (FR-F)",20172018,-97.13837439999999,49.895136
31,John Lethemon,SO,G,"Northville, Michigan",Michigan State,northville michigan,"Michigan State: 31 John Lethemon - Northville, Michigan (SO-G)",20172018,-83.4832692,42.4311464
41,Spencer Wright,SO,G,"Farmington Hills, Michigan",Michigan State,farmington hills michigan,"Michigan State: 41 Spencer Wright - Farmington Hills, Michigan (SO-G)",20172018,-83.3677168,42.4989936
44,Butrus Ghafari,SO,D,"West Bloomfield, Michigan",Michigan State,west bloomfield michigan,"Michigan State: 44 Butrus Ghafari - West Bloomfield, Michigan (SO-D)",20172018,-83.373339,42.5678534
52,Mitch Eliot,SO,D,"Grosse Pointe, Michigan",Michigan State,grosse pointe michigan,"Michigan State: 52 Mitch Eliot - Grosse Pointe, Michigan (SO-D)",20172018,-82.9118591,42.3861485
55,Patrick Khodorenko,SO,F,"Walnut Creek, California",Michigan State,walnut creek california,"Michigan State: 55 Patrick Khodorenko - Walnut Creek, California (SO-F)",20172018,-122.0651819,37.9100783
57,Jerad Rosburg,SO,D,"Clarksville, Maryland",Michigan State,clarksville maryland,"Michigan State: 57 Jerad Rosburg - Clarksville, Maryland (SO-D)",20172018,-76.94556639999999,39.2061962
71,Logan Lambdin,SO,F,"Newport, Michigan",Michigan State,newport michigan,"Michigan State: 71 Logan Lambdin - Newport, Michigan (SO-F)",20172018,-83.3088167,42.0023594
4,Dane Birks,SR,D,"Merritt, British Columbia",Michigan Tech,merritt british columbia,"Michigan Tech: 04 Dane Birks - Merritt, British Columbia (SR-D)",20172018,-120.7862222,50.1113079
5,Mitch Reinke,SO,D,"Stillwater, Minnesota",Michigan Tech,stillwater minnesota,"Michigan Tech: 05 Mitch Reinke - Stillwater, Minnesota (SO-D)",20172018,-92.80884429999999,45.056004
6,Cooper Watson,FR,D,"Appleton, Wisconsin",Michigan Tech,appleton wisconsin,"Michigan Tech: 06 Cooper Watson - Appleton, Wisconsin (FR-D)",20172018,-88.41538469999999,44.2619309
7,Keegan Ford,SO,D,"Waunakee, Wisconsin",Michigan Tech,waunakee wisconsin,"Michigan Tech: 07 Keegan Ford - Waunakee, Wisconsin (SO-D)",20172018,-89.45567489999999,43.1919373
8,Dylan Steman,SR,F,"Hanover, Minnesota",Michigan Tech,hanover minnesota,"Michigan Tech: 08 Dylan Steman - Hanover, Minnesota (SR-F)",20172018,-93.6663523,45.155797
9,Alex Gillies,SR,F,"Vernon, British Columbia",Michigan Tech,vernon british columbia,"Michigan Tech: 09 Alex Gillies - Vernon, British Columbia (SR-F)",20172018,-119.2720107,50.2670137
10,Jake Jackson,JR,F,"Maplewood, Minnesota",Michigan Tech,maplewood minnesota,"Michigan Tech: 10 Jake Jackson - Maplewood, Minnesota (JR-F)",20172018,-92.9952153,44.9530215
11,Joel L'Esperance,SR,F,"Brighton, Michigan",Michigan Tech,brighton michigan,"Michigan Tech: 11 Joel L'Esperance - Brighton, Michigan (SR-F)",20172018,-83.7802214,42.5294773
12,Mark Auk,SR,D,"St. Clair Shores, Michigan",Michigan Tech,st clair shores michigan,"Michigan Tech: 12 Mark Auk - St. Clair Shores, Michigan (SR-D)",20172018,-82.89636039999999,42.4974085
13,Thomas Beretta,SO,F,"Orangeville, Ontario",Michigan Tech,orangeville ontario,"Michigan Tech: 13 Thomas Beretta - Orangeville, Ontario (SO-F)",20172018,-80.0943113,43.9199788
14,Gavin Gould,SO,F,"North Vancouver, British Columbia",Michigan Tech,north vancouver british columbia,"Michigan Tech: 14 Gavin Gould - North Vancouver, British Columbia (SO-F)",20172018,-123.0724139,49.3199816
15,Jake Lucchini,JR,F,"Trail, British Columbia",Michigan Tech,trail british columbia,"Michigan Tech: 15 Jake Lucchini - Trail, British Columbia (JR-F)",20172018,-117.71173,49.0965676
16,Mason Blacklock,SR,F,"White Rock, British Columbia",Michigan Tech,white rock british columbia,"Michigan Tech: 16 Mason Blacklock - White Rock, British Columbia (SR-F)",20172018,-122.802962,49.0253085
17,Justin Misiak,FR,F,"St. Clair Shores, Michigan",Michigan Tech,st clair shores michigan,"Michigan Tech: 17 Justin Misiak - St. Clair Shores, Michigan (FR-F)",20172018,-82.89636039999999,42.4974085
18,Greyson Reitmeier,FR,F,"Nakusp, British Columbia",Michigan Tech,nakusp british columbia,"Michigan Tech: 18 Greyson Reitmeier - Nakusp, British Columbia (FR-F)",20172018,-117.8011055,50.2398537
20,Alex Smith,SO,F,"Edmonton, Alberta",Michigan Tech,edmonton alberta,"Michigan Tech: 20 Alex Smith - Edmonton, Alberta (SO-F)",20172018,-113.4909267,53.544389
21,Todd Kiilunen,SO,D,"Brighton, Michigan",Michigan Tech,brighton michigan,"Michigan Tech: 21 Todd Kiilunen - Brighton, Michigan (SO-D)",20172018,-83.7802214,42.5294773
22,Tyler Rockwell,FR,D,"San Jose, California",Michigan Tech,san jose california,"Michigan Tech: 22 Tyler Rockwell - San Jose, California (FR-D)",20172018,-121.8863286,37.3382082
23,Raymond Brice,SO,F,"Houghton, Michigan",Michigan Tech,houghton michigan,"Michigan Tech: 23 Raymond Brice - Houghton, Michigan (SO-F)",20172018,-88.5694182,47.12113309999999
24,Evan Anderson,SR,F,"Littleton, Colorado",Michigan Tech,littleton colorado,"Michigan Tech: 24 Evan Anderson - Littleton, Colorado (SR-F)",20172018,-105.0166498,39.613321
26,Marcus Russell,FR,F,"Traverse City, Michigan",Michigan Tech,traverse city michigan,"Michigan Tech: 26 Marcus Russell - Traverse City, Michigan (FR-F)",20172018,-85.62063169999999,44.7630567
27,Mitch Meek,FR,D,"Victoria, British Columbia",Michigan Tech,victoria british columbia,"Michigan Tech: 27 Mitch Meek - Victoria, British Columbia (FR-D)",20172018,-123.3656444,48.4284207
30,Patrick Munson,JR,G,"Hugo, Minnesota",Michigan Tech,hugo minnesota,"Michigan Tech: 30 Patrick Munson - Hugo, Minnesota (JR-G)",20172018,-92.99334119999999,45.159964
31,Devin Kero,SR,G,"Hancock, Michigan",Michigan Tech,hancock michigan,"Michigan Tech: 31 Devin Kero - Hancock, Michigan (SR-G)",20172018,-88.5809563,47.1268714
35,Robbie Beydoun,FR,G,"Plymouth, Michigan",Michigan Tech,plymouth michigan,"Michigan Tech: 35 Robbie Beydoun - Plymouth, Michigan (FR-G)",20172018,-83.4702132,42.3714253
1,Brock Kautz,JR,G,"Rochester, Minnesota",Minnesota,rochester minnesota,"Minnesota: 01 Brock Kautz - Rochester, Minnesota (JR-G)",20172018,-92.4801989,44.0121221
2,Jack Sadek,JR,D,"Lakeville, Minnesota",Minnesota,lakeville minnesota,"Minnesota: 02 Jack Sadek - Lakeville, Minnesota (JR-D)",20172018,-93.24271999999999,44.6496868
